[2024-11-17 12:48:28] Dados da tabela portal_vagas_estagio foram apagados.
[2024-11-17 12:48:31] Erro na linha 22, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 27, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 36, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 38, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 39, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 40, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 54, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 54, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 55, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 55, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 64, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 65, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 66, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 66, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 67, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 67, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 68, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 68, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 69, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 69, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 70, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 70, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 71, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 71, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 72, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 72, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 73, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 74, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 74, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 75, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 75, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 76, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 76, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 77, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 77, coluna G: Célula vazia, sem informação.
